creationDate|Person.id|Organisation.id|workFrom|type
2011-07-26T21:41:34.142Z|19791209299968|548|2007|WORK_AT
2012-03-30T10:11:12.788Z|28587302322180|1564|2006|WORK_AT
2012-03-30T10:11:12.788Z|28587302322180|1566|2007|WORK_AT
2012-04-08T11:47:54.301Z|28587302322204|1248|2006|WORK_AT
2012-07-03T00:55:16.938Z|30786325577731|1043|2004|WORK_AT
2012-07-03T00:55:16.938Z|30786325577731|999|2004|WORK_AT
2012-07-03T00:55:16.938Z|30786325577731|1033|2005|WORK_AT
2011-08-04T04:47:58.173Z|19791209299987|593|2006|WORK_AT
2011-08-04T04:47:58.173Z|19791209299987|1572|2007|WORK_AT
2011-08-04T04:47:58.173Z|19791209299987|1573|2006|WORK_AT
2011-08-04T04:47:58.173Z|19791209299987|1574|2006|WORK_AT
2011-06-24T17:11:54.199Z|17592186044443|970|2004|WORK_AT
2011-06-24T17:11:54.199Z|17592186044443|974|2005|WORK_AT
2011-01-09T19:16:37.913Z|13194139533355|544|2007|WORK_AT
2011-01-09T19:16:37.913Z|13194139533355|546|2007|WORK_AT
2011-01-09T19:16:37.913Z|13194139533355|553|2008|WORK_AT
2011-01-09T19:16:37.913Z|13194139533355|540|2007|WORK_AT
2012-08-09T21:35:41.016Z|32985348833329|541|2000|WORK_AT
2012-03-17T14:21:07.120Z|28587302322223|1227|2007|WORK_AT
2012-03-17T14:21:07.120Z|28587302322223|1228|2006|WORK_AT
2012-03-17T14:21:07.120Z|28587302322223|1229|2005|WORK_AT
2012-03-17T14:21:07.120Z|28587302322223|1230|2005|WORK_AT
2012-02-03T03:26:31.722Z|26388279066655|481|2001|WORK_AT
2012-02-03T03:26:31.722Z|26388279066655|483|2003|WORK_AT
2012-02-03T03:26:31.722Z|26388279066655|457|2003|WORK_AT
2012-02-03T03:26:31.722Z|26388279066655|459|2002|WORK_AT
2012-02-03T03:26:31.722Z|26388279066655|444|2003|WORK_AT
2010-03-21T12:25:42.685Z|2199023255594|8|2003|WORK_AT
2010-12-24T05:25:34.086Z|10995116277782|680|2007|WORK_AT
2010-12-24T05:25:34.086Z|10995116277782|666|2008|WORK_AT
2010-12-24T05:25:34.086Z|10995116277782|670|2008|WORK_AT
2010-01-03T15:10:31.499Z|14|603|2004|WORK_AT
2010-01-03T15:10:31.499Z|14|589|2004|WORK_AT
2010-01-03T15:10:31.499Z|14|591|2005|WORK_AT
2010-02-12T22:05:24.513Z|32|785|2004|WORK_AT
2010-02-12T22:05:24.513Z|32|789|2002|WORK_AT
2010-02-12T22:05:24.513Z|32|807|2003|WORK_AT
2010-02-12T22:05:24.513Z|32|792|2003|WORK_AT
2010-02-12T22:05:24.513Z|32|778|2003|WORK_AT
2010-09-28T17:46:50.451Z|8796093022244|544|2010|WORK_AT
2010-09-28T17:46:50.451Z|8796093022244|550|2008|WORK_AT
2010-09-28T17:46:50.451Z|8796093022244|554|2008|WORK_AT
2010-09-28T17:46:50.451Z|8796093022244|540|2009|WORK_AT
2011-10-06T01:23:31.981Z|21990232555526|928|2008|WORK_AT
2011-10-06T01:23:31.981Z|21990232555526|938|2008|WORK_AT
2011-10-06T01:23:31.981Z|21990232555526|924|2009|WORK_AT
2011-10-06T01:23:31.981Z|21990232555526|925|2007|WORK_AT
2011-10-06T01:23:31.981Z|21990232555526|909|2008|WORK_AT
2012-02-26T23:41:53.145Z|26388279066668|1027|2005|WORK_AT
2012-02-26T23:41:53.145Z|26388279066668|1046|2006|WORK_AT
2012-02-26T23:41:53.145Z|26388279066668|815|2007|WORK_AT
2012-08-06T10:01:33.641Z|32985348833318|800|2011|WORK_AT
2012-08-06T10:01:33.641Z|32985348833318|808|2010|WORK_AT
2012-08-06T10:01:33.641Z|32985348833318|780|2007|WORK_AT
2012-08-06T10:01:33.641Z|32985348833318|798|2008|WORK_AT
2012-01-10T19:44:54.406Z|26388279066632|1|2005|WORK_AT
2012-01-10T19:44:54.406Z|26388279066632|3|2006|WORK_AT
2011-10-17T04:08:45.182Z|21990232555527|919|2005|WORK_AT
2011-10-17T04:08:45.182Z|21990232555527|938|2006|WORK_AT
2011-10-17T04:08:45.182Z|21990232555527|908|2006|WORK_AT
2011-03-12T15:40:42.861Z|15393162788877|1331|2009|WORK_AT
2011-03-12T15:40:42.861Z|15393162788877|1333|2009|WORK_AT
2011-03-12T15:40:42.861Z|15393162788877|1337|2010|WORK_AT
2011-03-12T15:40:42.861Z|15393162788877|1340|2010|WORK_AT
2011-03-12T15:40:42.861Z|15393162788877|1341|2009|WORK_AT
2010-01-31T13:13:03.929Z|16|978|2005|WORK_AT
2010-01-31T13:13:03.929Z|16|972|2006|WORK_AT
2012-06-26T12:37:35.179Z|30786325577740|296|2009|WORK_AT
2012-06-26T12:37:35.179Z|30786325577740|298|2008|WORK_AT
2012-01-16T00:09:40.120Z|26388279066658|22|2010|WORK_AT
2012-01-16T00:09:40.120Z|26388279066658|26|2004|WORK_AT
2012-01-16T00:09:40.120Z|26388279066658|30|2004|WORK_AT
2010-08-08T01:41:16.348Z|6597069766702|787|2006|WORK_AT
2010-08-08T01:41:16.348Z|6597069766702|779|2006|WORK_AT
2010-08-08T01:41:16.348Z|6597069766702|781|2005|WORK_AT
2010-08-08T01:41:16.348Z|6597069766702|799|2006|WORK_AT
2012-03-13T15:16:08.597Z|28587302322196|775|2008|WORK_AT
2012-03-13T15:16:08.597Z|28587302322196|776|2007|WORK_AT
2012-01-12T23:55:02.878Z|26388279066641|811|2002|WORK_AT
2010-11-13T15:50:09.443Z|10995116277761|496|2006|WORK_AT
2010-11-13T15:50:09.443Z|10995116277761|514|2005|WORK_AT
2010-11-13T15:50:09.443Z|10995116277761|293|2006|WORK_AT
2010-11-13T15:50:09.443Z|10995116277761|507|2006|WORK_AT
2010-04-18T01:27:21.494Z|2199023255573|890|2008|WORK_AT
2010-04-18T01:27:21.494Z|2199023255573|892|2008|WORK_AT
2012-09-09T02:13:37.511Z|35184372088871|1056|2005|WORK_AT
2012-09-09T02:13:37.511Z|35184372088871|1136|2005|WORK_AT
2011-11-07T16:24:26.837Z|24189255811109|912|2011|WORK_AT
2011-11-07T16:24:26.837Z|24189255811109|932|2003|WORK_AT
2011-11-07T16:24:26.837Z|24189255811109|919|2012|WORK_AT
